,created at,Usuario,Tweet,Lugar,rtCount,pre-tweet,clean_tweet,FechaFormato
483,Sun Feb 21 17:40:27 +0000 2021,🇪🇨 Patriota Ecuador 🇪🇨,#elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz #LassoPresidente2021… https://t.co/jXkkCdHZuH,,1,#elfraudeesarauz #lassopresidente2021 #elfraudeesarauz #lassopresidente2021 #elfraudeesarauz #lassopresidente2021…, elfraudeesarauz  lassopresidente2021  elfraudeesarauz  lassopresidente2021  elfraudeesarauz  lassopresidente2021 ,Feb-21
484,Sun Feb 21 17:39:43 +0000 2021,🇪🇨 Patriota Ecuador 🇪🇨,NO NOS DEJEMOS ARREBATAR EL TRIUNFO DE LASSO POR SEGUNDA VEZ #elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz… https://t.co/W5657Xe1sP,,20,dejemos arrebatar triunfo lasso segunda vez #elfraudeesarauz #lassopresidente2021 #elfraudeesarauz…,dejemos arrebatar triunfo lasso segunda vez  elfraudeesarauz  lassopresidente2021  elfraudeesarauz ,Feb-21
485,Sun Feb 21 17:38:51 +0000 2021,🇪🇨 Patriota Ecuador 🇪🇨,@migueltobarf #elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz… https://t.co/Wec4UCrnk0,,2,@migueltobarf #elfraudeesarauz #lassopresidente2021 #elfraudeesarauz #lassopresidente2021 #elfraudeesarauz…, migueltobarf  elfraudeesarauz  lassopresidente2021  elfraudeesarauz  lassopresidente2021  elfraudeesarauz ,Feb-21
486,Sun Feb 21 17:38:28 +0000 2021,🇪🇨 Patriota Ecuador 🇪🇨,@juanflores18 @LassoGuillermo @ABorreroVega @cnegobec #elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz… https://t.co/y6V4WFrUeH,,0,@juanflores18 @lassoguillermo @aborrerovega @cnegobec #elfraudeesarauz #lassopresidente2021 #elfraudeesarauz…, juanflores18  lassoguillermo  aborrerovega  cnegobec  elfraudeesarauz  lassopresidente2021  elfraudeesarauz ,Feb-21
487,Sun Feb 21 17:37:05 +0000 2021,🇪🇨 Patriota Ecuador 🇪🇨,#elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz #LassoPresidente2021… https://t.co/hLKjSqpdHt,,2,#elfraudeesarauz #lassopresidente2021 #elfraudeesarauz #lassopresidente2021 #elfraudeesarauz #lassopresidente2021…, elfraudeesarauz  lassopresidente2021  elfraudeesarauz  lassopresidente2021  elfraudeesarauz  lassopresidente2021 ,Feb-21
488,Sun Feb 21 17:34:42 +0000 2021,SaraVi,"RT @LupAguirre: @CarlosVerareal @RebecaMorla @pxvr @EFTerranova @VERAZ_TWIT @LaPosta_Ecu @Caravana750 @RadioDibluFM #LassoPresidente2021
#C…",,2,rt @lupaguirre @carlosverareal @rebecamorla @pxvr @efterranova @veraz_twit @laposta_ecu @caravana750 @radiodiblufm #lassopresidente2021 #c…,rt  lupaguirre  carlosverareal  rebecamorla  pxvr  efterranova  veraz twit  laposta ecu  caravana750  radiodiblufm  lassopresidente2021  c ,Feb-21
489,Sun Feb 21 17:23:16 +0000 2021,Alegria Sols 🇪🇨,#LassoPresidente2021 https://t.co/jzGDUMGdsz,,0,#lassopresidente2021, lassopresidente2021,Feb-21
490,Sun Feb 21 17:22:25 +0000 2021,Alegria Sols 🇪🇨,@semarco @LassoGuillermo #LassoPresidente2021,,1,@semarco @lassoguillermo #lassopresidente2021, semarco  lassoguillermo  lassopresidente2021,Feb-21
491,Sun Feb 21 17:20:52 +0000 2021,Tanlly Vera,"¡Estamos en segunda vuelta! 

Ahora acogeremos las propuestas de varios sectores, para que se sientan representados… https://t.co/cLGCIWPpop",,28,"segunda vuelta ahora acogeremos propuestas varios sectores, sientan representados…",segunda vuelta ahora acogeremos propuestas varios sectores  sientan representados ,Feb-21
492,Sun Feb 21 17:19:54 +0000 2021,Jorge Luis Ochoa,"RT @LassoGuillermo: Desde Manabí a todo el Ecuador: NO VAMOS A REDUCIR LOS SUELDOS. Al contrario, trabajaremos por aumentar los ingresos de…",,617,"rt @lassoguillermo manabí ecuador vamos reducir sueldos contrario, trabajaremos aumentar ingresos de…",rt  lassoguillermo manabí ecuador vamos reducir sueldos contrario  trabajaremos aumentar ingresos de ,Feb-21
