created at,Usuario,Tweet,Lugar,rtCount,pre-tweet,clean_tweet
Wed Feb 17 18:50:00 +0000 2021,ruben,los añiñados fans del chulquero Lasso quieren hacer ver a #yakuperez como q si fuera el quien no cumplió el acuerdo… https://t.co/x4NCQLxVeh,,0,añiñados fans chulquero lasso quieren hacer ver #yakuperez q si cumplió acuerdo…,añiñados fans chulquero lasso quieren hacer ver  yakuperez q si cumplió acuerdo 
Wed Feb 17 18:47:55 +0000 2021,Maria Jose Castro,RT @sebasgallo95: Qué tipo más tóxico y mal perdedor que ha sido este #YakuPerez 🤦🏻‍♂️,,4,rt @sebasgallo95 tipo tóxico mal perdedor sido #yakuperez 🤦🏻‍♂️,rt  sebasgallo95 tipo tóxico mal perdedor sido  yakuperez      
Wed Feb 17 18:47:40 +0000 2021,Christian Palacios,".@yakuperezg #yakuperez y @SalvadorQuishpe se reunieron con @LassoGuillermo en su casa, en #Guayaquil. Ya transaron… https://t.co/emEIEPfpHU",,1,"@yakuperezg #yakuperez @salvadorquishpe reunieron @lassoguillermo casa, #guayaquil transaron…", yakuperezg  yakuperez  salvadorquishpe reunieron  lassoguillermo casa   guayaquil transaron 
Wed Feb 17 18:47:37 +0000 2021,Daniel Bermeo,"Ecuador: país donde los políticos acuerdan llegar a un acuerdo, y el acuerdo nunca llega. 

#Lasso #YakuPérez",,0,"ecuador país políticos acuerdan llegar acuerdo, acuerdo nunca llega #lasso #yakupérez",ecuador país políticos acuerdan llegar acuerdo  acuerdo nunca llega  lasso  yakupérez
Wed Feb 17 18:46:42 +0000 2021,Jose Gonzaga. Mg.,"RT @AbmrubioAmor: #PorQueVotoPorArauz porque es académico, joven, dinámico, probo, consecuente, HONORABLE, prolijo y lo más importante, ÉTI…",,35,"rt @abmrubioamor #porquevotoporarauz académico, joven, dinámico, probo, consecuente, honorable, prolijo importante, éti…",rt  abmrubioamor  porquevotoporarauz académico  joven  dinámico  probo  consecuente  honorable  prolijo importante  éti 
Wed Feb 17 18:46:41 +0000 2021,Mariuxi VO,"Luego se victimizan cuando los mandan al páramo. Con ellos no se puede dialogar y entrar en razón, todo es paro y m… https://t.co/QIGiwX78qt",,0,"luego victimizan mandan páramo puede dialogar entrar razón, paro m…",luego victimizan mandan páramo puede dialogar entrar razón  paro m 
Wed Feb 17 18:46:18 +0000 2021,Diario Centro StoDgo,"#ACTUALIDADES: Las elecciones en #Ecuador son una caricatura de transparencia, dice #YakuPérez ►►… https://t.co/be8z8yhY3w",,0,"#actualidades elecciones #ecuador caricatura transparencia, dice #yakupérez ►►…", actualidades elecciones  ecuador caricatura transparencia  dice  yakupérez    
Wed Feb 17 18:45:54 +0000 2021,Manavisión Canal 9,"#ACTUALIDADES: Las elecciones en #Ecuador son una caricatura de transparencia, dice #YakuPérez ►►… https://t.co/oBvSpV8MnA",,0,"#actualidades elecciones #ecuador caricatura transparencia, dice #yakupérez ►►…", actualidades elecciones  ecuador caricatura transparencia  dice  yakupérez    
Wed Feb 17 18:45:41 +0000 2021,El Diario - Manabita,"#ACTUALIDADES: Las elecciones en #Ecuador son una caricatura de transparencia, dice #YakuPérez ►►… https://t.co/naRESl4sUS",,13,"#actualidades elecciones #ecuador caricatura transparencia, dice #yakupérez ►►…", actualidades elecciones  ecuador caricatura transparencia  dice  yakupérez    
Wed Feb 17 18:45:18 +0000 2021,Jorge Sapiens,"En Ecuador hay gente trabajadora, honesta, profesional, inteligente, proactiva y capaz. Lo malo es que los político… https://t.co/IPKUkekaj2",,0,"ecuador gente trabajadora, honesta, profesional, inteligente, proactiva capaz malo político…",ecuador gente trabajadora  honesta  profesional  inteligente  proactiva capaz malo político 
